world,region,country,state,tier,channel,segment,scenario,fy,quarter,month,amount,room_nights_sold,rooms_available
World,South,US,TX,Luxury,OTA,Business,Plan,FY2025,Q1,2025-03,121316.12,694,900
World,South,US,TX,Luxury,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,165712.11,763,900
World,South,US,TX,Premium,Direct,Leisure,Actual,FY2025,Q1,2025-03,120717.22,620,900
World,South,US,TX,Premium,Direct,Leisure,Plan,FY2025,Q1,2025-03,156697.67,606,900
World,South,US,TX,Premium,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,172867.39,784,900
World,South,US,TX,Premium,Direct,Business,Actual,FY2025,Q1,2025-03,138479.10,660,900
World,South,US,TX,Premium,Direct,Business,Plan,FY2025,Q1,2025-03,148590.41,613,900
World,South,US,TX,Premium,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,163512.98,622,900
World,South,US,TX,Premium,OTA,Leisure,Actual,FY2025,Q1,2025-03,135316.04,752,900
World,South,US,TX,Premium,OTA,Leisure,Plan,FY2025,Q1,2025-03,119246.77,608,900
World,South,US,TX,Premium,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,141464.40,784,900
World,South,US,TX,Premium,OTA,Business,Actual,FY2025,Q1,2025-03,144117.88,634,900
World,South,US,TX,Premium,OTA,Business,Plan,FY2025,Q1,2025-03,120751.57,752,900
World,South,US,TX,Premium,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,169887.68,750,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Actual,FY2025,Q1,2025-03,141950.35,773,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Plan,FY2025,Q1,2025-03,127815.65,799,900
World,Southeast,US,FL,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,150140.75,795,900
World,Southeast,US,FL,Luxury,Direct,Business,Actual,FY2025,Q1,2025-03,151230.03,758,900
World,Southeast,US,FL,Luxury,Direct,Business,Plan,FY2025,Q1,2025-03,119194.45,615,900
World,Southeast,US,FL,Luxury,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,182187.12,695,900
World,Southeast,US,FL,Luxury,OTA,Leisure,Actual,FY2025,Q1,2025-03,150449.89,618,900
World,Southeast,US,FL,Luxury,OTA,Leisure,Plan,FY2025,Q1,2025-03,118828.38,777,900
World,Southeast,US,FL,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,139106.46,679,900
World,Southeast,US,FL,Luxury,OTA,Business,Actual,FY2025,Q1,2025-03,138473.83,631,900
World,Southeast,US,FL,Luxury,OTA,Business,Plan,FY2025,Q1,2025-03,128343.62,693,900
World,Southeast,US,FL,Luxury,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,138645.78,626,900
World,Southeast,US,FL,Premium,Direct,Leisure,Actual,FY2025,Q1,2025-03,122437.27,737,900
World,Southeast,US,FL,Premium,Direct,Leisure,Plan,FY2025,Q1,2025-03,128665.86,683,900
World,Southeast,US,FL,Premium,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,173260.39,629,900
World,Southeast,US,FL,Premium,Direct,Business,Actual,FY2025,Q1,2025-03,161820.69,770,900
World,Southeast,US,FL,Premium,Direct,Business,Plan,FY2025,Q1,2025-03,125109.20,711,900
World,Southeast,US,FL,Premium,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,150110.35,648,900
World,Southeast,US,FL,Premium,OTA,Leisure,Actual,FY2025,Q1,2025-03,129571.39,636,900
World,Southeast,US,FL,Premium,OTA,Leisure,Plan,FY2025,Q1,2025-03,127641.81,751,900
World,Southeast,US,FL,Premium,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,183824.16,725,900
World,Southeast,US,FL,Premium,OTA,Business,Actual,FY2025,Q1,2025-03,128219.54,676,900
World,Southeast,US,FL,Premium,OTA,Business,Plan,FY2025,Q1,2025-03,135404.29,718,900
World,Southeast,US,FL,Premium,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,184338.24,630,900
World,West,US,CA,Luxury,Direct,Leisure,Actual,FY2025,Q2,2025-06,159335.06,759,900
World,West,US,CA,Luxury,Direct,Leisure,Plan,FY2025,Q2,2025-06,119942.56,649,900
World,West,US,CA,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,184030.17,798,900
World,West,US,CA,Luxury,Direct,Business,Actual,FY2025,Q2,2025-06,122073.09,608,900
World,West,US,CA,Luxury,Direct,Business,Plan,FY2025,Q2,2025-06,150054.52,711,900
World,West,US,CA,Luxury,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,174798.65,616,900
World,West,US,CA,Luxury,OTA,Leisure,Actual,FY2025,Q2,2025-06,150409.08,646,900
World,West,US,CA,Luxury,OTA,Leisure,Plan,FY2025,Q2,2025-06,114988.05,794,900
World,West,US,CA,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,136410.73,787,900
World,West,US,CA,Luxury,OTA,Business,Actual,FY2025,Q2,2025-06,158841.94,602,900
World,West,US,CA,Luxury,OTA,Business,Plan,FY2025,Q2,2025-06,122874.75,649,900
World,West,US,CA,Luxury,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,136423.92,731,900
World,West,US,CA,Premium,Direct,Leisure,Actual,FY2025,Q2,2025-06,165128.10,748,900
World,West,US,CA,Premium,Direct,Leisure,Plan,FY2025,Q2,2025-06,138558.03,731,900
World,West,US,CA,Premium,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,177378.81,600,900
World,West,US,CA,Premium,Direct,Business,Actual,FY2025,Q2,2025-06,142788.46,658,900
World,West,US,CA,Premium,Direct,Business,Plan,FY2025,Q2,2025-06,139495.88,610,900
World,West,US,CA,Premium,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,147783.50,786,900
World,West,US,CA,Premium,OTA,Leisure,Actual,FY2025,Q2,2025-06,152310.12,671,900
World,West,US,CA,Premium,OTA,Leisure,Plan,FY2025,Q2,2025-06,121763.27,731,900
World,West,US,CA,Premium,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,139470.17,759,900
World,West,US,CA,Premium,OTA,Business,Actual,FY2025,Q2,2025-06,161480.28,767,900
World,West,US,CA,Premium,OTA,Business,Plan,FY2025,Q2,2025-06,117428.86,680,900
World,West,US,CA,Premium,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,183776.56,672,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Actual,FY2025,Q2,2025-06,147870.81,722,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Plan,FY2025,Q2,2025-06,120426.09,607,900
World,Northeast,US,NY,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,163774.27,723,900
World,Northeast,US,NY,Luxury,Direct,Business,Actual,FY2025,Q2,2025-06,157635.55,712,900
World,Northeast,US,NY,Luxury,Direct,Business,Plan,FY2025,Q2,2025-06,126941.13,724,900
World,Northeast,US,NY,Luxury,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,144423.60,640,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Actual,FY2025,Q2,2025-06,166736.30,605,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Plan,FY2025,Q2,2025-06,132451.91,692,900
World,Northeast,US,NY,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,144779.17,799,900
World,Northeast,US,NY,Luxury,OTA,Business,Actual,FY2025,Q2,2025-06,129726.65,642,900
World,Northeast,US,NY,Luxury,OTA,Business,Plan,FY2025,Q2,2025-06,152270.21,683,900
World,Northeast,US,NY,Luxury,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,147598.32,627,900
World,Northeast,US,NY,Premium,Direct,Leisure,Actual,FY2025,Q2,2025-06,160446.17,718,900
World,Northeast,US,NY,Premium,Direct,Leisure,Plan,FY2025,Q2,2025-06,114127.28,628,900
World,Northeast,US,NY,Premium,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,132662.92,789,900
World,Northeast,US,NY,Premium,Direct,Business,Actual,FY2025,Q2,2025-06,139564.02,756,900
World,Northeast,US,NY,Premium,Direct,Business,Plan,FY2025,Q2,2025-06,125073.11,645,900
World,Northeast,US,NY,Premium,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,173903.14,720,900
World,Northeast,US,NY,Premium,OTA,Leisure,Actual,FY2025,Q2,2025-06,153921.86,797,900
World,Northeast,US,NY,Premium,OTA,Leisure,Plan,FY2025,Q2,2025-06,154643.49,617,900
World,Northeast,US,NY,Premium,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,155345.87,727,900
World,Northeast,US,NY,Premium,OTA,Business,Actual,FY2025,Q2,2025-06,122213.07,636,900
World,Northeast,US,NY,Premium,OTA,Business,Plan,FY2025,Q2,2025-06,136376.47,697,900
World,Northeast,US,NY,Premium,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,158902.76,704,900
World,South,US,TX,Luxury,Direct,Leisure,Actual,FY2025,Q2,2025-06,134182.38,791,900
World,South,US,TX,Luxury,Direct,Leisure,Plan,FY2025,Q2,2025-06,125272.57,708,900
World,South,US,TX,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,168207.02,689,900
World,South,US,TX,Luxury,Direct,Business,Actual,FY2025,Q2,2025-06,157129.71,626,900
World,South,US,TX,Luxury,Direct,Business,Plan,FY2025,Q2,2025-06,148768.74,632,900
World,South,US,TX,Luxury,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,170036.16,780,900
World,South,US,TX,Luxury,OTA,Leisure,Actual,FY2025,Q2,2025-06,130106.65,666,900
World,South,US,TX,Luxury,OTA,Leisure,Plan,FY2025,Q2,2025-06,141673.63,757,900
World,South,US,TX,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,145663.95,624,900
World,South,US,TX,Luxury,OTA,Business,Actual,FY2025,Q2,2025-06,120422.55,695,900
World,South,US,TX,Luxury,OTA,Business,Plan,FY2025,Q2,2025-06,118296.73,650,900
World,South,US,TX,Luxury,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,132718.22,652,900
World,South,US,TX,Premium,Direct,Leisure,Actual,FY2025,Q2,2025-06,146054.09,797,900
World,South,US,TX,Premium,Direct,Leisure,Plan,FY2025,Q2,2025-06,122647.95,760,900
World,South,US,TX,Premium,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,174603.01,603,900
World,South,US,TX,Premium,Direct,Business,Actual,FY2025,Q2,2025-06,147056.44,735,900
World,South,US,TX,Premium,Direct,Business,Plan,FY2025,Q2,2025-06,132132.35,799,900
World,South,US,TX,Premium,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,156616.07,676,900
World,South,US,TX,Premium,OTA,Leisure,Actual,FY2025,Q2,2025-06,135107.03,688,900
World,South,US,TX,Premium,OTA,Leisure,Plan,FY2025,Q2,2025-06,121593.49,630,900
World,South,US,TX,Premium,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,153852.80,627,900
World,South,US,TX,Premium,OTA,Business,Actual,FY2025,Q2,2025-06,128124.09,719,900
World,South,US,TX,Premium,OTA,Business,Plan,FY2025,Q2,2025-06,127931.64,671,900
World,South,US,TX,Premium,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,146372.74,750,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Actual,FY2025,Q2,2025-06,166580.88,665,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Plan,FY2025,Q2,2025-06,142010.80,737,900
World,Southeast,US,FL,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,170944.26,706,900
World,Southeast,US,FL,Luxury,Direct,Business,Actual,FY2025,Q2,2025-06,123257.81,777,900
World,Southeast,US,FL,Luxury,Direct,Business,Plan,FY2025,Q2,2025-06,121052.36,740,900
World,Southeast,US,FL,Luxury,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,172886.01,788,900
World,Southeast,US,FL,Luxury,OTA,Leisure,Actual,FY2025,Q2,2025-06,136762.09,644,900
World,Southeast,US,FL,Luxury,OTA,Leisure,Plan,FY2025,Q2,2025-06,147856.93,713,900
World,Southeast,US,FL,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,139432.12,748,900
World,Southeast,US,FL,Luxury,OTA,Business,Actual,FY2025,Q2,2025-06,129451.39,746,900
World,Southeast,US,FL,Luxury,OTA,Business,Plan,FY2025,Q2,2025-06,131270.42,646,900
World,Southeast,US,FL,Luxury,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,160069.22,702,900
World,Southeast,US,FL,Premium,Direct,Leisure,Actual,FY2025,Q2,2025-06,127419.05,711,900
World,Southeast,US,FL,Premium,Direct,Leisure,Plan,FY2025,Q2,2025-06,146727.06,688,900
World,Southeast,US,FL,Premium,Direct,Leisure,WhatIf_A,FY2025,Q2,2025-06,157984.49,791,900
World,Southeast,US,FL,Premium,Direct,Business,Actual,FY2025,Q2,2025-06,163566.72,667,900
World,Southeast,US,FL,Premium,Direct,Business,Plan,FY2025,Q2,2025-06,146396.15,758,900
World,Southeast,US,FL,Premium,Direct,Business,WhatIf_A,FY2025,Q2,2025-06,166871.08,714,900
World,Southeast,US,FL,Premium,OTA,Leisure,Actual,FY2025,Q2,2025-06,150146.46,741,900
World,Southeast,US,FL,Premium,OTA,Leisure,Plan,FY2025,Q2,2025-06,131646.76,607,900
World,Southeast,US,FL,Premium,OTA,Leisure,WhatIf_A,FY2025,Q2,2025-06,141389.03,729,900
World,Southeast,US,FL,Premium,OTA,Business,Actual,FY2025,Q2,2025-06,132396.22,736,900
World,Southeast,US,FL,Premium,OTA,Business,Plan,FY2025,Q2,2025-06,114051.56,754,900
World,Southeast,US,FL,Premium,OTA,Business,WhatIf_A,FY2025,Q2,2025-06,145682.47,761,900
World,West,US,CA,Luxury,Direct,Leisure,Actual,FY2025,Q3,2025-09,137417.56,762,900
World,West,US,CA,Luxury,Direct,Leisure,Plan,FY2025,Q3,2025-09,144472.50,735,900
World,West,US,CA,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,174639.31,749,900
World,West,US,CA,Luxury,Direct,Business,Actual,FY2025,Q3,2025-09,145683.81,751,900
World,West,US,CA,Luxury,Direct,Business,Plan,FY2025,Q3,2025-09,135360.36,651,900
World,West,US,CA,Luxury,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,158650.83,704,900
World,West,US,CA,Luxury,OTA,Leisure,Actual,FY2025,Q3,2025-09,148352.06,659,900
World,West,US,CA,Luxury,OTA,Leisure,Plan,FY2025,Q3,2025-09,134075.38,678,900
World,West,US,CA,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,134233.75,685,900
World,West,US,CA,Luxury,OTA,Business,Actual,FY2025,Q3,2025-09,135856.98,745,900
World,West,US,CA,Luxury,OTA,Business,Plan,FY2025,Q3,2025-09,145199.75,797,900
World,West,US,CA,Luxury,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,156310.05,601,900
World,West,US,CA,Premium,Direct,Leisure,Actual,FY2025,Q3,2025-09,162097.15,610,900
World,West,US,CA,Premium,Direct,Leisure,Plan,FY2025,Q3,2025-09,127242.69,675,900
World,West,US,CA,Premium,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,140738.80,650,900
World,West,US,CA,Premium,Direct,Business,Actual,FY2025,Q3,2025-09,126895.94,772,900
World,West,US,CA,Premium,Direct,Business,Plan,FY2025,Q3,2025-09,127250.92,776,900
World,West,US,CA,Premium,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,154298.94,798,900
World,West,US,CA,Premium,OTA,Leisure,Actual,FY2025,Q3,2025-09,151480.24,645,900
World,West,US,CA,Premium,OTA,Leisure,Plan,FY2025,Q3,2025-09,137615.93,619,900
World,West,US,CA,Premium,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,163791.92,759,900
World,West,US,CA,Premium,OTA,Business,Actual,FY2025,Q3,2025-09,155907.02,605,900
World,West,US,CA,Premium,OTA,Business,Plan,FY2025,Q3,2025-09,124029.34,747,900
World,West,US,CA,Premium,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,154493.31,780,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Actual,FY2025,Q3,2025-09,140386.75,769,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Plan,FY2025,Q3,2025-09,121459.01,652,900
World,Northeast,US,NY,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,138395.57,723,900
World,Northeast,US,NY,Luxury,Direct,Business,Actual,FY2025,Q3,2025-09,126647.20,782,900
World,Northeast,US,NY,Luxury,Direct,Business,Plan,FY2025,Q3,2025-09,146196.85,733,900
World,Northeast,US,NY,Luxury,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,136306.15,620,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Actual,FY2025,Q3,2025-09,151223.01,740,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Plan,FY2025,Q3,2025-09,139396.77,744,900
World,Northeast,US,NY,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,165758.23,740,900
World,Northeast,US,NY,Luxury,OTA,Business,Actual,FY2025,Q3,2025-09,148857.04,780,900
World,Northeast,US,NY,Luxury,OTA,Business,Plan,FY2025,Q3,2025-09,144134.51,723,900
World,Northeast,US,NY,Luxury,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,158735.99,670,900
World,Northeast,US,NY,Premium,Direct,Leisure,Actual,FY2025,Q3,2025-09,129002.04,633,900
World,Northeast,US,NY,Premium,Direct,Leisure,Plan,FY2025,Q3,2025-09,133348.13,667,900
World,Northeast,US,NY,Premium,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,184721.81,709,900
World,Northeast,US,NY,Premium,Direct,Business,Actual,FY2025,Q3,2025-09,123700.78,663,900
World,Northeast,US,NY,Premium,Direct,Business,Plan,FY2025,Q3,2025-09,139317.64,643,900
World,Northeast,US,NY,Premium,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,137943.92,702,900
World,Northeast,US,NY,Premium,OTA,Leisure,Actual,FY2025,Q3,2025-09,154797.88,668,900
World,Northeast,US,NY,Premium,OTA,Leisure,Plan,FY2025,Q3,2025-09,118646.74,668,900
World,Northeast,US,NY,Premium,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,181709.58,713,900
World,Northeast,US,NY,Premium,OTA,Business,Actual,FY2025,Q3,2025-09,150251.41,652,900
World,Northeast,US,NY,Premium,OTA,Business,Plan,FY2025,Q3,2025-09,123369.95,797,900
World,Northeast,US,NY,Premium,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,170622.16,655,900
World,South,US,TX,Luxury,Direct,Leisure,Actual,FY2025,Q3,2025-09,139359.84,796,900
World,South,US,TX,Luxury,Direct,Leisure,Plan,FY2025,Q3,2025-09,143457.41,750,900
World,South,US,TX,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,159806.06,654,900
World,South,US,TX,Luxury,Direct,Business,Actual,FY2025,Q3,2025-09,120342.89,790,900
World,South,US,TX,Luxury,Direct,Business,Plan,FY2025,Q3,2025-09,137167.34,687,900
World,South,US,TX,Luxury,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,143249.19,671,900
World,South,US,TX,Luxury,OTA,Leisure,Actual,FY2025,Q3,2025-09,138096.89,669,900
World,South,US,TX,Luxury,OTA,Leisure,Plan,FY2025,Q3,2025-09,131852.15,698,900
World,South,US,TX,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,144804.92,622,900
World,South,US,TX,Luxury,OTA,Business,Actual,FY2025,Q3,2025-09,141534.68,783,900
World,South,US,TX,Luxury,OTA,Business,Plan,FY2025,Q3,2025-09,142141.38,609,900
World,South,US,TX,Luxury,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,137564.83,635,900
World,South,US,TX,Premium,Direct,Leisure,Actual,FY2025,Q3,2025-09,131450.08,742,900
World,South,US,TX,Premium,Direct,Leisure,Plan,FY2025,Q3,2025-09,120748.76,767,900
World,South,US,TX,Premium,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,135991.63,655,900
World,South,US,TX,Premium,Direct,Business,Actual,FY2025,Q3,2025-09,138677.97,723,900
World,South,US,TX,Premium,Direct,Business,Plan,FY2025,Q3,2025-09,119364.91,661,900
World,South,US,TX,Premium,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,175118.19,707,900
World,South,US,TX,Premium,OTA,Leisure,Actual,FY2025,Q3,2025-09,162265.14,676,900
World,South,US,TX,Premium,OTA,Leisure,Plan,FY2025,Q3,2025-09,139014.75,625,900
World,South,US,TX,Premium,OTA,Leisure,WhatIf_A,FY2025,Q3,2025-09,177615.55,652,900
World,South,US,TX,Premium,OTA,Business,Actual,FY2025,Q3,2025-09,130156.52,646,900
World,South,US,TX,Premium,OTA,Business,Plan,FY2025,Q3,2025-09,137204.76,776,900
World,South,US,TX,Premium,OTA,Business,WhatIf_A,FY2025,Q3,2025-09,160427.07,692,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Actual,FY2025,Q3,2025-09,127431.85,754,900
World,Southeast,US,FL,Luxury,Direct,Leisure,Plan,FY2025,Q3,2025-09,154123.90,692,900
World,Southeast,US,FL,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q3,2025-09,177814.29,779,900
World,Southeast,US,FL,Luxury,Direct,Business,Actual,FY2025,Q3,2025-09,159816.02,717,900
World,Southeast,US,FL,Luxury,Direct,Business,Plan,FY2025,Q3,2025-09,153216.25,715,900
World,Southeast,US,FL,Luxury,Direct,Business,WhatIf_A,FY2025,Q3,2025-09,176816.47,647,900
World,Southeast,US,FL,Luxury,OTA,Leisure,Actual,FY2025,Q3,2025-09,161279.33,707,900
